@station,number,@load,@bikeflag,reachtime,index,station_id,routename,abbr,routeID,hexcolor,color,name,gtfs_latitude,gtfs_longitude,address,city,county,state,zipcode
12TH,1,0,1,5,1,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,5,2,9,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,5,3,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,6,4,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,6,5,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,6,6,8,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,7,7,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,7,8,8,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,7,9,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,7,10,8,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,8,11,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,8,12,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,9,13,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,9,14,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,10,15,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,10,16,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,11,17,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,11,18,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,12,19,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,12,20,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,13,21,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,13,22,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,14,23,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,14,24,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,15,25,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,15,26,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,16,27,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,16,28,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,17,29,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,17,30,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,18,31,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,18,32,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,19,33,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,19,34,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,20,35,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,20,36,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,21,37,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,1,0,1,22,38,13,Antioch to SFIA/Millbrae,ANTC-SFIA,ROUTE 1,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,5,1,11,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,5,2,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,6,3,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,6,4,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,7,5,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,7,7,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,8,8,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,8,9,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,9,10,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,9,11,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,10,12,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,10,13,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,11,14,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,11,15,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,12,16,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
12TH,2,0,1,12,17,15,Millbrae/SFIA to Antioch,SFIA-ANTC,ROUTE 2,#FFFF33,YELLOW,12th St. Oakland City Center,37.803768,-122.27145,1245 Broadway,Oakland,alameda,CA,94612
